umur_alat,jam_operasional,kondisi_terakhir,jumlah_perbaikan,lokasi_operasi,jenis_alat,label_risiko
8,819,Baik,8,Risiko Rendah,Dump Truck,Risiko Rendah
18,1085,Rusak,1,Risiko Rendah,Crane,Risiko Tinggi
17,1292,Rusak,8,Risiko Tinggi,Compactor,Risiko Tinggi
7,6611,Dalam Perbaikan,8,Risiko Rendah,Dump Truck,Risiko Tinggi
17,7632,Dalam Perbaikan,1,Risiko Rendah,Compactor,Risiko Tinggi
23,7288,Baik,8,Risiko Rendah,Compactor,Risiko Tinggi
17,4954,Baik,5,Risiko Rendah,Compactor,Risiko Tinggi
10,4002,Rusak,0,Risiko Rendah,Forklift,Risiko Sedang
0,2266,Baik,0,Risiko Sedang,Bulldozer,Risiko Rendah
6,2145,Baik,7,Risiko Tinggi,Forklift,Risiko Rendah
9,79,Baik,1,Risiko Tinggi,Bulldozer,Risiko Rendah
9,295,Rusak,9,Risiko Tinggi,Bulldozer,Risiko Sedang
13,1044,Baik,4,Risiko Sedang,Excavator,Risiko Tinggi
15,1720,Dalam Perbaikan,3,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
15,6390,Dalam Perbaikan,6,Risiko Tinggi,Bulldozer,Risiko Tinggi
19,7082,Baik,2,Risiko Sedang,Excavator,Risiko Tinggi
21,6033,Rusak,6,Risiko Tinggi,Motor Grader,Risiko Tinggi
18,1304,Dalam Perbaikan,1,Risiko Sedang,Excavator,Risiko Tinggi
11,1822,Baik,7,Risiko Sedang,Compactor,Risiko Rendah
0,6515,Baik,3,Risiko Rendah,Motor Grader,Risiko Tinggi
14,2689,Rusak,1,Risiko Sedang,Crane,Risiko Tinggi
6,4173,Rusak,10,Risiko Tinggi,Crane,Risiko Sedang
26,944,Rusak,2,Risiko Tinggi,Compactor,Risiko Tinggi
25,888,Dalam Perbaikan,6,Risiko Sedang,Crane,Risiko Tinggi
13,4966,Dalam Perbaikan,1,Risiko Sedang,Lainnya,Risiko Tinggi
20,2086,Baik,6,Risiko Rendah,Dump Truck,Risiko Tinggi
1,4410,Dalam Perbaikan,10,Risiko Rendah,Crane,Risiko Sedang
13,573,Dalam Perbaikan,5,Risiko Tinggi,Crane,Risiko Tinggi
5,6946,Baik,4,Risiko Tinggi,Compactor,Risiko Tinggi
5,3345,Rusak,6,Risiko Tinggi,Compactor,Risiko Sedang
9,1042,Baik,6,Risiko Tinggi,Forklift,Risiko Rendah
5,6128,Baik,9,Risiko Tinggi,Compactor,Risiko Tinggi
14,4488,Baik,4,Risiko Sedang,Motor Grader,Risiko Tinggi
13,6436,Dalam Perbaikan,9,Risiko Tinggi,Crane,Risiko Tinggi
12,3619,Rusak,10,Risiko Rendah,Dump Truck,Risiko Sedang
11,6502,Dalam Perbaikan,2,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
17,4222,Dalam Perbaikan,10,Risiko Tinggi,Crane,Risiko Tinggi
24,6704,Baik,10,Risiko Sedang,Motor Grader,Risiko Tinggi
1,1631,Baik,0,Risiko Rendah,Motor Grader,Risiko Rendah
11,5007,Baik,7,Risiko Sedang,Lainnya,Risiko Tinggi
20,5884,Dalam Perbaikan,6,Risiko Sedang,Forklift,Risiko Tinggi
19,1208,Dalam Perbaikan,0,Risiko Rendah,Forklift,Risiko Tinggi
19,1440,Dalam Perbaikan,8,Risiko Sedang,Excavator,Risiko Tinggi
9,2041,Baik,7,Risiko Rendah,Wheel Loader,Risiko Rendah
5,4351,Dalam Perbaikan,9,Risiko Sedang,Wheel Loader,Risiko Sedang
7,6676,Dalam Perbaikan,8,Risiko Sedang,Dump Truck,Risiko Tinggi
12,7349,Baik,7,Risiko Sedang,Compactor,Risiko Tinggi
2,2025,Dalam Perbaikan,4,Risiko Tinggi,Wheel Loader,Risiko Rendah
6,1959,Rusak,7,Risiko Rendah,Compactor,Risiko Rendah
19,2225,Rusak,5,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
22,1235,Baik,6,Risiko Tinggi,Bulldozer,Risiko Tinggi
4,1752,Baik,6,Risiko Sedang,Crane,Risiko Rendah
9,3816,Rusak,0,Risiko Rendah,Forklift,Risiko Sedang
14,7412,Dalam Perbaikan,0,Risiko Tinggi,Forklift,Risiko Tinggi
11,48,Rusak,4,Risiko Sedang,Forklift,Risiko Sedang
9,6123,Dalam Perbaikan,8,Risiko Tinggi,Motor Grader,Risiko Tinggi
11,1797,Rusak,6,Risiko Sedang,Excavator,Risiko Sedang
14,2753,Dalam Perbaikan,10,Risiko Sedang,Bulldozer,Risiko Tinggi
0,3828,Baik,9,Risiko Tinggi,Excavator,Risiko Sedang
14,4848,Dalam Perbaikan,10,Risiko Rendah,Backhoe Loader,Risiko Tinggi
6,3511,Baik,7,Risiko Rendah,Excavator,Risiko Rendah
18,3105,Rusak,3,Risiko Sedang,Crane,Risiko Tinggi
16,6235,Rusak,4,Risiko Sedang,Compactor,Risiko Tinggi
0,670,Rusak,0,Risiko Tinggi,Dump Truck,Risiko Rendah
25,7798,Rusak,3,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
2,7842,Dalam Perbaikan,0,Risiko Rendah,Motor Grader,Risiko Tinggi
20,6874,Baik,9,Risiko Rendah,Motor Grader,Risiko Tinggi
22,3879,Dalam Perbaikan,1,Risiko Tinggi,Motor Grader,Risiko Tinggi
12,5730,Rusak,5,Risiko Rendah,Lainnya,Risiko Tinggi
7,7894,Dalam Perbaikan,1,Risiko Rendah,Compactor,Risiko Tinggi
23,4740,Baik,4,Risiko Tinggi,Forklift,Risiko Tinggi
14,7712,Dalam Perbaikan,3,Risiko Rendah,Lainnya,Risiko Tinggi
4,6804,Dalam Perbaikan,3,Risiko Rendah,Compactor,Risiko Tinggi
5,4918,Baik,9,Risiko Rendah,Crane,Risiko Rendah
9,3509,Dalam Perbaikan,5,Risiko Rendah,Dump Truck,Risiko Sedang
6,2795,Baik,6,Risiko Sedang,Backhoe Loader,Risiko Rendah
13,7870,Rusak,10,Risiko Sedang,Bulldozer,Risiko Tinggi
13,1442,Dalam Perbaikan,8,Risiko Tinggi,Compactor,Risiko Tinggi
7,6620,Dalam Perbaikan,7,Risiko Sedang,Forklift,Risiko Tinggi
0,5988,Dalam Perbaikan,4,Risiko Sedang,Motor Grader,Risiko Tinggi
0,7656,Baik,4,Risiko Sedang,Motor Grader,Risiko Tinggi
2,3806,Dalam Perbaikan,9,Risiko Tinggi,Forklift,Risiko Sedang
16,235,Rusak,5,Risiko Rendah,Wheel Loader,Risiko Tinggi
20,2906,Rusak,5,Risiko Sedang,Lainnya,Risiko Tinggi
4,7209,Rusak,8,Risiko Rendah,Dump Truck,Risiko Tinggi
20,701,Baik,6,Risiko Sedang,Dump Truck,Risiko Tinggi
2,1968,Dalam Perbaikan,7,Risiko Tinggi,Wheel Loader,Risiko Rendah
12,6495,Baik,1,Risiko Sedang,Motor Grader,Risiko Tinggi
14,5667,Baik,4,Risiko Tinggi,Lainnya,Risiko Tinggi
15,3876,Dalam Perbaikan,8,Risiko Sedang,Forklift,Risiko Tinggi
3,4508,Rusak,5,Risiko Tinggi,Wheel Loader,Risiko Sedang
18,2511,Rusak,3,Risiko Rendah,Motor Grader,Risiko Tinggi
16,979,Dalam Perbaikan,8,Risiko Tinggi,Bulldozer,Risiko Tinggi
20,1772,Dalam Perbaikan,7,Risiko Sedang,Lainnya,Risiko Tinggi
2,4297,Dalam Perbaikan,4,Risiko Rendah,Motor Grader,Risiko Rendah
17,1863,Rusak,2,Risiko Sedang,Excavator,Risiko Tinggi
4,4375,Baik,4,Risiko Rendah,Excavator,Risiko Rendah
9,2393,Dalam Perbaikan,2,Risiko Tinggi,Wheel Loader,Risiko Rendah
23,7149,Baik,9,Risiko Sedang,Wheel Loader,Risiko Tinggi
11,3608,Rusak,2,Risiko Rendah,Compactor,Risiko Sedang
11,934,Baik,6,Risiko Sedang,Backhoe Loader,Risiko Rendah
8,5156,Dalam Perbaikan,0,Risiko Rendah,Bulldozer,Risiko Tinggi
1,4610,Rusak,1,Risiko Rendah,Backhoe Loader,Risiko Rendah
9,6262,Rusak,9,Risiko Tinggi,Lainnya,Risiko Tinggi
19,6354,Dalam Perbaikan,6,Risiko Sedang,Wheel Loader,Risiko Tinggi
17,7046,Dalam Perbaikan,6,Risiko Sedang,Lainnya,Risiko Tinggi
7,493,Dalam Perbaikan,1,Risiko Rendah,Motor Grader,Risiko Rendah
18,5410,Baik,2,Risiko Rendah,Bulldozer,Risiko Tinggi
9,614,Baik,0,Risiko Sedang,Wheel Loader,Risiko Rendah
4,4864,Rusak,4,Risiko Rendah,Motor Grader,Risiko Sedang
17,5791,Rusak,7,Risiko Rendah,Motor Grader,Risiko Tinggi
18,6453,Dalam Perbaikan,9,Risiko Tinggi,Motor Grader,Risiko Tinggi
13,940,Dalam Perbaikan,3,Risiko Tinggi,Bulldozer,Risiko Tinggi
18,6771,Baik,1,Risiko Rendah,Bulldozer,Risiko Tinggi
1,2519,Dalam Perbaikan,9,Risiko Sedang,Wheel Loader,Risiko Rendah
23,3839,Dalam Perbaikan,4,Risiko Tinggi,Forklift,Risiko Tinggi
18,4099,Dalam Perbaikan,7,Risiko Sedang,Backhoe Loader,Risiko Tinggi
7,326,Rusak,5,Risiko Tinggi,Compactor,Risiko Sedang
26,748,Baik,10,Risiko Tinggi,Lainnya,Risiko Tinggi
26,6264,Dalam Perbaikan,4,Risiko Tinggi,Excavator,Risiko Tinggi
2,6195,Baik,7,Risiko Tinggi,Wheel Loader,Risiko Tinggi
18,1486,Dalam Perbaikan,6,Risiko Tinggi,Wheel Loader,Risiko Tinggi
24,3850,Rusak,6,Risiko Sedang,Crane,Risiko Tinggi
5,856,Baik,5,Risiko Sedang,Wheel Loader,Risiko Rendah
17,5427,Rusak,8,Risiko Rendah,Wheel Loader,Risiko Tinggi
24,2576,Rusak,5,Risiko Rendah,Forklift,Risiko Tinggi
10,6757,Baik,10,Risiko Tinggi,Wheel Loader,Risiko Tinggi
13,444,Baik,8,Risiko Sedang,Lainnya,Risiko Tinggi
2,4083,Dalam Perbaikan,7,Risiko Rendah,Motor Grader,Risiko Sedang
18,4499,Baik,4,Risiko Sedang,Wheel Loader,Risiko Tinggi
23,236,Dalam Perbaikan,9,Risiko Rendah,Bulldozer,Risiko Tinggi
17,4512,Baik,8,Risiko Sedang,Backhoe Loader,Risiko Tinggi
19,6892,Baik,7,Risiko Rendah,Bulldozer,Risiko Tinggi
11,7640,Dalam Perbaikan,4,Risiko Tinggi,Compactor,Risiko Tinggi
13,6838,Rusak,7,Risiko Rendah,Wheel Loader,Risiko Tinggi
9,1184,Rusak,3,Risiko Tinggi,Dump Truck,Risiko Sedang
3,7203,Baik,1,Risiko Sedang,Forklift,Risiko Tinggi
16,7653,Dalam Perbaikan,4,Risiko Rendah,Compactor,Risiko Tinggi
3,2445,Dalam Perbaikan,9,Risiko Tinggi,Wheel Loader,Risiko Rendah
22,3658,Dalam Perbaikan,7,Risiko Sedang,Crane,Risiko Tinggi
9,6249,Dalam Perbaikan,6,Risiko Sedang,Crane,Risiko Tinggi
20,5713,Baik,9,Risiko Sedang,Motor Grader,Risiko Tinggi
2,3365,Baik,5,Risiko Tinggi,Wheel Loader,Risiko Rendah
4,7482,Rusak,6,Risiko Tinggi,Bulldozer,Risiko Tinggi
11,7903,Baik,2,Risiko Tinggi,Lainnya,Risiko Tinggi
16,7124,Baik,7,Risiko Rendah,Dump Truck,Risiko Tinggi
12,125,Dalam Perbaikan,2,Risiko Sedang,Bulldozer,Risiko Rendah
24,3846,Rusak,5,Risiko Tinggi,Forklift,Risiko Tinggi
6,657,Rusak,10,Risiko Tinggi,Forklift,Risiko Sedang
16,5134,Dalam Perbaikan,7,Risiko Tinggi,Excavator,Risiko Tinggi
7,560,Baik,10,Risiko Tinggi,Compactor,Risiko Rendah
19,6117,Baik,6,Risiko Rendah,Backhoe Loader,Risiko Tinggi
12,1362,Dalam Perbaikan,4,Risiko Rendah,Excavator,Risiko Rendah
16,6522,Baik,4,Risiko Sedang,Crane,Risiko Tinggi
13,1192,Baik,8,Risiko Sedang,Lainnya,Risiko Tinggi
5,6492,Baik,2,Risiko Rendah,Backhoe Loader,Risiko Tinggi
7,7133,Rusak,9,Risiko Tinggi,Motor Grader,Risiko Tinggi
11,7477,Dalam Perbaikan,2,Risiko Rendah,Wheel Loader,Risiko Tinggi
6,2080,Rusak,4,Risiko Tinggi,Excavator,Risiko Sedang
1,3811,Rusak,10,Risiko Tinggi,Bulldozer,Risiko Sedang
24,3618,Rusak,9,Risiko Sedang,Forklift,Risiko Tinggi
4,2048,Rusak,4,Risiko Rendah,Forklift,Risiko Rendah
11,873,Baik,6,Risiko Tinggi,Crane,Risiko Sedang
8,2423,Dalam Perbaikan,4,Risiko Rendah,Forklift,Risiko Rendah
18,66,Dalam Perbaikan,10,Risiko Tinggi,Excavator,Risiko Tinggi
7,6104,Rusak,4,Risiko Rendah,Lainnya,Risiko Tinggi
1,2886,Baik,10,Risiko Rendah,Lainnya,Risiko Rendah
18,5552,Dalam Perbaikan,10,Risiko Tinggi,Bulldozer,Risiko Tinggi
6,795,Dalam Perbaikan,10,Risiko Rendah,Compactor,Risiko Rendah
1,3611,Baik,9,Risiko Sedang,Bulldozer,Risiko Sedang
24,7451,Rusak,5,Risiko Tinggi,Forklift,Risiko Tinggi
21,1644,Baik,8,Risiko Sedang,Dump Truck,Risiko Tinggi
10,7483,Rusak,2,Risiko Sedang,Wheel Loader,Risiko Tinggi
1,2417,Dalam Perbaikan,5,Risiko Rendah,Wheel Loader,Risiko Rendah
24,1153,Baik,10,Risiko Tinggi,Forklift,Risiko Tinggi
1,4565,Rusak,1,Risiko Sedang,Excavator,Risiko Sedang
18,4395,Baik,7,Risiko Sedang,Compactor,Risiko Tinggi
8,3121,Dalam Perbaikan,5,Risiko Rendah,Motor Grader,Risiko Sedang
11,205,Dalam Perbaikan,8,Risiko Sedang,Lainnya,Risiko Sedang
19,5305,Baik,10,Risiko Sedang,Compactor,Risiko Tinggi
6,3344,Baik,2,Risiko Rendah,Excavator,Risiko Rendah
17,4035,Baik,1,Risiko Rendah,Dump Truck,Risiko Tinggi
22,3183,Rusak,5,Risiko Tinggi,Dump Truck,Risiko Tinggi
13,4811,Dalam Perbaikan,2,Risiko Sedang,Backhoe Loader,Risiko Tinggi
0,4008,Dalam Perbaikan,6,Risiko Sedang,Excavator,Risiko Sedang
4,3035,Baik,7,Risiko Sedang,Motor Grader,Risiko Rendah
15,813,Dalam Perbaikan,5,Risiko Tinggi,Crane,Risiko Tinggi
25,3261,Rusak,3,Risiko Rendah,Wheel Loader,Risiko Tinggi
24,5429,Baik,10,Risiko Tinggi,Lainnya,Risiko Tinggi
26,414,Rusak,3,Risiko Rendah,Lainnya,Risiko Tinggi
20,562,Dalam Perbaikan,3,Risiko Tinggi,Motor Grader,Risiko Tinggi
0,7124,Baik,5,Risiko Rendah,Lainnya,Risiko Tinggi
26,2271,Baik,2,Risiko Tinggi,Compactor,Risiko Tinggi
1,1429,Baik,10,Risiko Rendah,Bulldozer,Risiko Rendah
26,2934,Baik,9,Risiko Sedang,Excavator,Risiko Tinggi
21,2173,Baik,2,Risiko Tinggi,Forklift,Risiko Tinggi
10,931,Dalam Perbaikan,1,Risiko Sedang,Wheel Loader,Risiko Rendah
2,2965,Dalam Perbaikan,9,Risiko Rendah,Wheel Loader,Risiko Rendah
10,1814,Dalam Perbaikan,0,Risiko Tinggi,Dump Truck,Risiko Rendah
17,3752,Dalam Perbaikan,0,Risiko Rendah,Wheel Loader,Risiko Tinggi
14,3492,Dalam Perbaikan,1,Risiko Sedang,Wheel Loader,Risiko Tinggi
24,7366,Baik,5,Risiko Tinggi,Bulldozer,Risiko Tinggi
24,1033,Rusak,9,Risiko Tinggi,Lainnya,Risiko Tinggi
9,5833,Rusak,6,Risiko Tinggi,Dump Truck,Risiko Tinggi
17,3716,Dalam Perbaikan,9,Risiko Sedang,Backhoe Loader,Risiko Tinggi
1,5748,Baik,10,Risiko Tinggi,Dump Truck,Risiko Tinggi
3,7090,Baik,6,Risiko Sedang,Motor Grader,Risiko Tinggi
13,2776,Rusak,6,Risiko Sedang,Backhoe Loader,Risiko Tinggi
16,3496,Rusak,10,Risiko Sedang,Crane,Risiko Tinggi
22,5626,Rusak,1,Risiko Rendah,Backhoe Loader,Risiko Tinggi
24,3537,Baik,5,Risiko Rendah,Dump Truck,Risiko Tinggi
25,4804,Dalam Perbaikan,8,Risiko Sedang,Backhoe Loader,Risiko Tinggi
13,2896,Dalam Perbaikan,6,Risiko Tinggi,Excavator,Risiko Tinggi
17,4918,Rusak,5,Risiko Rendah,Lainnya,Risiko Tinggi
10,1742,Baik,10,Risiko Sedang,Motor Grader,Risiko Rendah
23,2868,Dalam Perbaikan,5,Risiko Rendah,Compactor,Risiko Tinggi
8,1852,Rusak,8,Risiko Tinggi,Lainnya,Risiko Sedang
5,5264,Dalam Perbaikan,0,Risiko Tinggi,Compactor,Risiko Tinggi
26,1477,Rusak,4,Risiko Sedang,Crane,Risiko Tinggi
26,1486,Baik,9,Risiko Tinggi,Forklift,Risiko Tinggi
24,1162,Dalam Perbaikan,10,Risiko Rendah,Backhoe Loader,Risiko Tinggi
3,4345,Baik,6,Risiko Sedang,Wheel Loader,Risiko Rendah
16,1289,Rusak,4,Risiko Tinggi,Crane,Risiko Tinggi
2,7712,Dalam Perbaikan,9,Risiko Rendah,Excavator,Risiko Tinggi
22,1289,Dalam Perbaikan,0,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
18,3629,Dalam Perbaikan,6,Risiko Sedang,Lainnya,Risiko Tinggi
12,3392,Rusak,3,Risiko Tinggi,Backhoe Loader,Risiko Sedang
15,3521,Baik,4,Risiko Tinggi,Lainnya,Risiko Tinggi
11,4316,Dalam Perbaikan,4,Risiko Rendah,Motor Grader,Risiko Sedang
14,4909,Baik,0,Risiko Rendah,Compactor,Risiko Tinggi
20,6286,Baik,4,Risiko Sedang,Crane,Risiko Tinggi
23,63,Rusak,6,Risiko Rendah,Bulldozer,Risiko Tinggi
14,4362,Dalam Perbaikan,3,Risiko Tinggi,Dump Truck,Risiko Tinggi
0,5472,Rusak,1,Risiko Sedang,Excavator,Risiko Tinggi
13,153,Rusak,1,Risiko Sedang,Lainnya,Risiko Tinggi
13,4697,Rusak,10,Risiko Sedang,Compactor,Risiko Tinggi
23,3318,Baik,5,Risiko Rendah,Lainnya,Risiko Tinggi
12,6815,Dalam Perbaikan,5,Risiko Rendah,Forklift,Risiko Tinggi
23,1993,Rusak,9,Risiko Sedang,Dump Truck,Risiko Tinggi
24,3242,Rusak,5,Risiko Rendah,Crane,Risiko Tinggi
2,1377,Baik,8,Risiko Tinggi,Backhoe Loader,Risiko Rendah
10,4177,Baik,5,Risiko Sedang,Bulldozer,Risiko Sedang
19,842,Baik,4,Risiko Rendah,Bulldozer,Risiko Tinggi
7,1252,Dalam Perbaikan,1,Risiko Rendah,Wheel Loader,Risiko Rendah
12,6180,Dalam Perbaikan,9,Risiko Sedang,Lainnya,Risiko Tinggi
6,5204,Dalam Perbaikan,5,Risiko Tinggi,Crane,Risiko Tinggi
22,3602,Baik,7,Risiko Sedang,Compactor,Risiko Tinggi
1,2250,Dalam Perbaikan,0,Risiko Sedang,Dump Truck,Risiko Rendah
24,2542,Rusak,7,Risiko Rendah,Excavator,Risiko Tinggi
15,6813,Rusak,1,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
7,4866,Dalam Perbaikan,6,Risiko Sedang,Lainnya,Risiko Sedang
9,7817,Dalam Perbaikan,0,Risiko Sedang,Lainnya,Risiko Tinggi
6,1542,Rusak,9,Risiko Sedang,Dump Truck,Risiko Sedang
22,7845,Baik,7,Risiko Rendah,Crane,Risiko Tinggi
4,690,Dalam Perbaikan,10,Risiko Rendah,Excavator,Risiko Rendah
19,5796,Rusak,7,Risiko Tinggi,Dump Truck,Risiko Tinggi
7,1300,Rusak,5,Risiko Sedang,Forklift,Risiko Rendah
13,6344,Rusak,10,Risiko Tinggi,Excavator,Risiko Tinggi
1,5168,Dalam Perbaikan,5,Risiko Rendah,Crane,Risiko Tinggi
23,4570,Dalam Perbaikan,6,Risiko Sedang,Compactor,Risiko Tinggi
3,6976,Dalam Perbaikan,9,Risiko Rendah,Crane,Risiko Tinggi
24,4773,Dalam Perbaikan,2,Risiko Sedang,Compactor,Risiko Tinggi
6,5721,Dalam Perbaikan,6,Risiko Rendah,Lainnya,Risiko Tinggi
4,7684,Baik,4,Risiko Tinggi,Forklift,Risiko Tinggi
6,6485,Rusak,2,Risiko Tinggi,Dump Truck,Risiko Tinggi
24,5292,Dalam Perbaikan,6,Risiko Tinggi,Crane,Risiko Tinggi
26,2970,Rusak,2,Risiko Rendah,Crane,Risiko Tinggi
2,3983,Baik,3,Risiko Rendah,Bulldozer,Risiko Rendah
24,2423,Baik,8,Risiko Tinggi,Dump Truck,Risiko Tinggi
25,5422,Rusak,9,Risiko Rendah,Lainnya,Risiko Tinggi
14,1263,Baik,2,Risiko Tinggi,Lainnya,Risiko Tinggi
1,7394,Baik,7,Risiko Rendah,Forklift,Risiko Tinggi
15,5540,Dalam Perbaikan,3,Risiko Sedang,Lainnya,Risiko Tinggi
17,6163,Dalam Perbaikan,7,Risiko Rendah,Dump Truck,Risiko Tinggi
19,2535,Rusak,3,Risiko Sedang,Lainnya,Risiko Tinggi
12,3782,Rusak,6,Risiko Tinggi,Dump Truck,Risiko Sedang
13,7915,Baik,3,Risiko Tinggi,Bulldozer,Risiko Tinggi
18,427,Dalam Perbaikan,7,Risiko Sedang,Dump Truck,Risiko Tinggi
23,5827,Dalam Perbaikan,1,Risiko Sedang,Backhoe Loader,Risiko Tinggi
2,1313,Rusak,7,Risiko Tinggi,Bulldozer,Risiko Sedang
0,3583,Baik,3,Risiko Sedang,Crane,Risiko Rendah
26,3398,Baik,6,Risiko Tinggi,Crane,Risiko Tinggi
19,3163,Baik,5,Risiko Rendah,Excavator,Risiko Tinggi
16,7625,Baik,10,Risiko Sedang,Bulldozer,Risiko Tinggi
22,313,Rusak,7,Risiko Tinggi,Bulldozer,Risiko Tinggi
2,5779,Rusak,7,Risiko Tinggi,Excavator,Risiko Tinggi
24,155,Rusak,3,Risiko Rendah,Dump Truck,Risiko Tinggi
3,4987,Dalam Perbaikan,6,Risiko Rendah,Compactor,Risiko Rendah
19,2467,Baik,0,Risiko Rendah,Forklift,Risiko Tinggi
